"d061645","abdominoplasty","abdominoplasties","panniculectomy","panniculectomies"
"d057128","aberrometry","aberrometries"
"d003729","dental care",
"d016734","dental clasps","dental clasp"
"d017005","dental debonding",
"d003748","dental equipment",
"d045662","dental etching",
"d003757","dental implantation","implantation dental prosthesis"
"d015921","dental implants","dental prostheses surgical","prosthesis surgical dental"
"d003762","dental instruments",
"d003765","dental models",
"d003766","dental occlusion","occlusal plane","canine guidance","occlusal guidance"
"d003772","dental pins","dental peg"
"d003775","dental polishing","finishing dental","dental burnishing"
"d003777","dental prophylaxis",
"d017266","dental prosthesis","dental prostheses"
"d003792","dental records",
"d012534","dental scaling","scaling supragingival","scaling root","scaling subgingival"
"d012994","dental soldering",
"d003801","dental veneers","dental laminate"
"d003814","dentistry operative",
"d003819","denture bases",
"d003824","denture complete",
"d003779","denture design",
"d003822","denture liners","cushion liner"
"d003828","denture overlay","overdenture"
"d003829","denture partial","bridgework dental"
"d003823","denture rebasing","denture relining"
"d003780","denture repair",
"d003781","denture retention","denture stability"
"d003888","desensitization immunologic","hyposensitization therapy","hyposensitization therapies","allergen immunotherapy","allergen immunotherapies"
"d018795","device approval","device approval process","processes device approval","food and drug administration device approval process","new device approval","food and drug administration device approval","new device approval process"
"d020878","device removal",
"d003937","diagnosis differential","diagnoses differential"
"d003945","diagnosis oral","diagnoses oral","examination oral"
"d019719","diagnostic equipment",
"d003951","diagnostic errors","misdiagnosis","misdiagnoses"
"d003952","diagnostic imaging","medical imaging"
"d041382","diapers adult",
"d041381","diapers infant","diaper pin"
"d058266","dielectric spectroscopy","impedance spectroscopy","impedance spectroscopies","electrochemical impedance spectroscopy","spectroscopies electrochemical impedance"
"d003927","diet diabetic",
"d055423","diet ketogenic",
"d015623","diet macrobiotic",
"d038441","diet mediterranean",
"d066046","diet paleolithic","diet stone age","diet paleo","diet caveman","diet hunter gatherer"
"d004038","diet reducing","weight reduction diet","weight loss diet"
"d004034","diet surveys",
"d004035","diet therapy","diet therapies","diet therapy restrictive","therapies restrictive diet","restrictive diet therapy","restriction diet therapies","therapy restriction diet","modification dietary","modification diet"
"d000067269","diet vegan","veganism"
"d014676","diet vegetarian","lacto vegetarian diet","plant based diet","plant based nutrition","lacto ovo vegetarian diet","vegetarianism"
"d004185","disability evaluation",
"d016002","discriminant analysis","analyses discriminant"
"d018563","disease notification","infectious disease reporting","notification exposure"
"d017587","diskectomy percutaneous","diskectomies percutaneous","discectomy percutaneous","discectomies percutaneous","nucleotomy percutaneous","nucleotomies percutaneous"
"d004209","disposable equipment",
"d065508","diving reflex","reflex mammalian diving"
"d004245","dmf index","dmf indices","dmf indexe","decayed missing and filled teeth"
"d059018","dna contamination",
"d016172","dna fingerprinting","dna typing","dna profiling","dna fingerprint","genetic fingerprinting"
"d018983","dna footprinting","dna footprint"
"d032621","dna shuffling","molecular breeding","exon shuffling in vitro"
"d000072234","donor conception",
"d046148","donor selection","donor screening","tissue and organ selection","donor exclusion"
"d004304","dosage forms",
"d015916","drainage postural","pulmonary postural drainage","drainage postural respiratory","drainage respiratory postural"
"d017277","drug approval","food and drug administration drug approval","drug approval process","processes drug approval","new drug approval process","new drug approval","food and drug administration drug approval process"
"d004337","drug carriers",
"d055870","drug chronotherapy","chronotherapies drug"
"d004339","drug compounding","drug preparation","drug formulation","pharmaceutical formulation","drug microencapsulation"
"d015195","drug design","pharmaceutical design","drug modeling","computer aided drug design","design computerized drug"
"d000076722","drug development","pharmaceutical development","medication development","computational prediction of drug target interactions","target prediction drug"
"d055808","drug discovery","drug prospecting"
"d004341","drug evaluation","evaluation studies drug","study drug evaluation"
"d004344","drug incompatibility","drug incompatibilities"
"d004348","drug labeling","drug labelling","package insert drug","drug product labeling","box warning black","warning boxed"
"d000076064","drug misuse","misuse non prescription drug","medicine misuse non prescription","non prescription medicine misuse","nonprescription drug misuse","drug misuse over the counter"
"d016903","drug monitoring","monitoring therapeutic drug"
"d062787","drug overdose",
"d004349","drug packaging","container drug"
"d011307","drug prescriptions","drug prescribing"
"d058492","drug repositioning","drug repurposing","drug rescue"
"d004355","drug stability","drug stabilities","drug shelf life"
"d004356","drug storage",
"d057915","drug substitution","therapeutic substitution","drug switching","generic substitution"
"d004358","drug therapy","drug therapies","chemotherapy","chemotherapies","pharmacotherapy","pharmacotherapies"
"d000079245","dry needling",
"d004434","early ambulation","accelerated ambulation","early mobilization"
"d042241","early diagnosis","early detection of disease","disease early detection"
"d015150","echocardiography doppler","continuous doppler echocardiography","echocardiography 2d doppler","echocardiography two dimensional doppler","doppler echocardiography 2 d","two dimensional doppler echocardiography","2 d doppler echocardiography"
"d025401","echocardiography stress","echocardiographies stress","echocardiography stress dobutamine","stress echocardiographies dobutamine"
"d017548","echocardiography transesophageal",
"d027681","eclecticism historical",
"d058569","elbow prosthesis","elbow prostheses"
"d004554","electric countershock","defibrillation electric","electrical cardioversion","cardiac electroversion","cardioversion","electroversion therapy","electroversion therapies"
"d004558","electric stimulation","electrical stimulation"
"d004559","electric wiring","electrical wiring"
"d015716","electrocardiography ambulatory","dynamic electrocardiography","electrocardiography monitoring ambulatory","electrocardiographic monitoring ambulatory","monitoring ambulatory electrocardiography","holter electrocardiography","holter monitoring"
"d055664","electrochemical techniques","electrochemical technic"
"d004567","electrodes implanted","electrode implantable","stimulation electrode implantable","electrode implanted stimulation","stimulation electrode implanted"
"d004570","electrogalvanism intraoral","galvanism oral"
"d062609","electronic nose","e nose","artificial nose","electronic tongue"
"d019075","electrophoresis capillary","capillary electrophoreses","capillary zone electrophoresis","zone electrophoreses capillary"
"d004589","electrophoresis disc","electrophoresis disk"
"d046209","electrophoresis microchip","electrophoreses microchip"
"d004590","electrophoresis paper",
"d004621","embolization therapeutic","embolotherapy","embolotherapies"
"d019924","embryo disposition","embryo disposal","embryo abandonment","embryo donation"
"d033041","embryo research","research human embryo","experimentation embryo","cell research embryo"
"d004624","embryo transfer","blastocyst transfer","tubal embryo transfer","tubal embryo stage transfer"
"d004638","emergency treatment","therapy emergency","emergency therapies"
"d019243","enamel microabrasion","dental microabrasion"
"d016894","endarterectomy carotid","carotid endarterectomies"
"d004713","endolymphatic shunt",
"d020776","endoscopes gastrointestinal",
"d016099","endoscopy gastrointestinal","endoscopies gastrointestinal","procedure gastrointestinal endoscopic surgical","endoscopic gastrointestinal surgeries","gastrointestinal surgery endoscopic"
"d057510","endovascular procedures","intravascular procedure","intravascular technique","endovascular technique"
"d023381","endpoint determination","end point determination","assay endpoint","assay end point"
"d000076663","endurance training",
"d004750","enteral nutrition","enteral feeding","force feeding","tube feeding","tube gastric feeding"
"d057075","enzyme assays","assay enzymatic","indirect enzyme assay","assay indirect enzymatic"
"d004795","enzyme stability","enzyme stabilities"
"d057487","enzyme therapy","enzyme therapies","systemic enzyme therapy","therapies systemic enzyme","enzymotherapy","enzymotherapies"
"d056149","epicardial mapping","percutaneous epicardial mapping"
"d004812","epidemiologic methods","epidemiologic method"
"d016021","epidemiologic studies","epidemiological studies","epidemiological study","epidemiologic study"
"d062665","epidemiological monitoring","monitoring epidemiologic","epidemiologic surveillance"
"d018604","epitope mapping",
"d004867","equipment design","device design","medical device design","device design medical"
"d004868","equipment failure","device failure","malfunction equipment","misuse equipment","defect equipment","device failure medical"
"d017743","equipment reuse","recycling equipment","equipment reusability","product recycling"
"d004869","equipment safety","device safety","equipment hazard","safety medical device"
"d004903","erythrocyte aggregation","rouleaux formation erythrocyte","intravascular agglutination","aggregation intravascular erythrocyte"
"d004906","erythrocyte count","red blood cell count","erythrocyte number"
"d004909","erythrocyte indices","red cell indices","red cell index","red cell indexes","erythrocyte index","erythrocyte indexes","erythrocyte size determination","red cell distribution width","mean corpuscular hemoglobin","hemoglobin erythrocyte mean cell","mean corpuscular hemoglobulin concentration","mean cell hemoglobin concentration","mean corpuscular volume","volume mean cell","erythrocyte volume mean cell","erythrocyte diameter","erythrocyte thickness"
"d017707","erythrocyte transfusion","red blood cell transfusion"
"d004955","esthetics dental","aesthetics dental","cosmetic dentistry","cosmetic dentistries"
"d004972","estrus detection",
"d004973","estrus synchronization",
"d028601","euthanasia active",
"d037901","euthanasia animal","mercy killing animal"
"d005066","euthanasia passive","euthanasia negative","allowing to die"
"d058637","examination tables",
"d005080","exercise test","testing physical fitness","ergometry test arm","testing fitness","exercise test cardiopulmonary","test step","test stress","test treadmill","eurofit test batteries","test battery eurofit","eurofit test","european fitness testing battery","bicycle ergometry test"
"d005081","exercise therapy","remedial exercise","exercise therapies","rehabilitation exercise"
"d000067190","exoskeleton device","robotic exoskeleton"
"d016267","external fixators","fixation device external"
"d005112","extracorporeal circulation",
"d005113","extraction obstetrical","extraction obstetric"
"d005137","eye artificial","ocular prosthesis","ocular prostheses"
"d015353","eye enucleation","enucleation surgery","enucleation surgeries","enucleation technique"
"d017234","eye evisceration",
"d005149","facial expression",
"d054445","facial transplantation","face transplantation","facial transplant","face transplant"
"d029221","faith healing","prayer healing"
"d017809","fatal outcome",
"d005240","feasibility studies","feasibility study"
"d005248","feeding methods",
"d005276","fenestration labyrinth",
"d059247","fertility preservation",
"d005323","fetal monitoring",
"d046689","fetal mortality","fetal mortalities","late fetal mortality","mortalities late fetal"
"d033042","fetal research","fetal experimentation","research fetal cell","research fetal tissue"
"d046128","fetal therapies","therapy fetal"
"d020567","fetal weight","body weight fetal"
"d057918","fiducial markers","fiducial target","anatomic fiducial","fiducial implanted"
"d005365","figlu test","formiminoglutamic acid test"
"d005373","film dosimetry","dosimetries film","film badge dosimetry","film badge dosimetries","badge film"
"d018463","filtering surgery","surgery filtration"
"d005392","first aid",
"d000072936","fitness trackers","tracker physical fitness","activity tracker","fitness tracker personal","tracker personal fitness"
"d005410","flame ionization",
"d005425","flicker fusion",
"d005428","flocculation tests",
"d005434","flow cytometry","microfluorometry flow","flow microfluorometries","flow microfluorimetry","cytofluorometry flow","cytofluorometries flow","cytometries flow","fluorescence activated cell sorting"
"d005440","fluid therapy","fluid therapies","rehydration therapy oral","rehydration therapies oral","rehydration","oral rehydration"
"d005451","fluorescein angiography","fluorescence angiography","photography fundus fluorescence"
"d005454","fluorescence polarization","anisotropy fluorescence","anisotropies fluorescence"
"d017144","focus groups",
"d018729","fontan procedure","stage 3 norwood procedure","fontan palliation","norwood procedure stage iii","fontan operation","fontan circulation","fontan circuit","hemi fontan procedure","norwood procedure stage 2","bidirectional glenn shunt","stage ii norwood procedure","procedure bidirectional glenn","cavopulmonary shunt bidirectional"
"d005504","food analysis","analyses food"
"d061826","foot orthoses","foot orthosis","orthotic device foot","arch support foot","support foot arch","shoe insert orthotic","insole orthotic"
"d005583","fourier analysis","cyclic analysis","analyses cyclic","fourier transform","fourier series"
"d005590","fractional precipitation",
"d005592","fracture fixation","skeletal fixation","fracture reduction"
"d005612","freeze drying","lyophilization"
"d005613","freeze etching",
"d005614","freeze fracturing",
"d017110","freeze substitution",
"d005629","frozen sections",
"d059907","functional neuroimaging","functional brain imaging"
"d017143","fuzzy logic",
"d000077107","gait analysis","gait analyses"
"d005717","games experimental",
"d015902","gamma cameras","camera scintillation","scinti camera","camera nuclear"
"d065818","gamma rhythm",
"d015920","gas scavengers","scavenger anesthetic gas"
"d015905","gastric balloon","gastric bubble","garren edwards gastric bubble","ballobes balloon"
"d015390","gastric bypass","gastric bypass roux en y","gastric bypass greenville","bypass gastroileal","gastrojejunostomy","gastrojejunostomies"
"d050786","gastric hypothermia","cold gastric lavage"
"d005751","gastric lavage","irrigation gastric"
"d005772","gastrointestinal transit","gi transit"
"d000072669","gene editing","genome editing"
"d018390","gene targeting",
"d005818","genetic engineering","genetic intervention"
"d024861","genetic enhancement",
"d000079425","genetic introgression","introgressive hybridization"
"d005821","genetic techniques","technique genetic"
"d005820","genetic testing","testing genetic predisposition","testing genetic predictive","screening genetic"
"d015316","genetic therapy","genetic therapies","therapy dna","genetic therapy somatic","therapies somatic genetic","gametic genetic therapies","gametic genetic therapy","therapies gametic genetic","gene therapy","somatic gene therapy"
"d060005","genotyping techniques","genotype assignment methodology","methodologies genotype assignment","calling method genotype","method genotype calling","method genotype determination"
"d062305","geographic mapping","geographic cartography","dasymetric mapping","geocoding","choropleth mapping","georeferencing"
"d015577","geriatric assessment",
"d017575","gloves protective",
"d005932","gloves surgical",
"d005676","gravity suits","pressure suit","pneumatic suit","suit antigravity","trousers military antishock","anti shock trousers military","trousers military anti shock","anti shock trousers","antishock trousers"
"d057238","growth charts","reference growth curve"
"d058869","gynecological examination","gynecological exam","examination vaginal","vaginal exam","pelvic examination","pelvic exam"
"d000081205","hair analysis","mineral analysis hair"
"d006204","hair removal","epilation","depilation","electrolytic depilation"
"d063373","hand hygiene",
"d018737","hand strength","grip","grasp"
"d063987","hand transplantation",
"d006245","hardness tests",
"d006306","health surveys","abortion survey"
"d006310","hearing aids","ear mold"
"d006320","hearing tests",
"d006354","heart artificial",
"d006326","heart auscultation","cardiac auscultation"
"d006336","heart massage","cardiac massage"
"d006339","heart rate","pulse rate","cardiac chronotropy","chronotropism cardiac","rate control heart"
"d016027","heart transplantation","grafting heart","cardiac transplantation"
"d059746","heimlich maneuver","abdominal thrust"
"d000074434","heller myotomy","heller groeneweldt surgery","heller operation","heller groeneweldt operation","laparoscopic heller myotomy","laparoscopic heller cardiomyotomy"
"d006386","hemagglutination tests",
"d006403","hematologic tests","test hematologic","blood test"
"d006414","hematoporphyrin photoradiation","photochemotherapy hematoporphyrin"
"d017619","hemibody irradiation","irradiation half body","sequential hemibody irradiation","hemi body irradiation","systemic hemibody irradiation"
"d006437","hemodialysis home","renal dialysis home","renal dialyses home","home hemodialyses"
"d000074743","hemodynamic monitoring",
"d016558","hemostasis endoscopic","endoscopic hemostases"
"d006488","hemostasis surgical","hemostases surgical"
"d006489","hemostatic techniques","hemostatic technic"
"d020180","heteroduplex analysis","analyses heteroduplex"
"d019417","hindlimb suspension","hindlimb elevation","hindlimb unloading","hindlimb immobilization","tail suspension","skeletal unloading"
"d006622","hip prosthesis","hip prostheses","femoral head prosthesis","femoral head prostheses"
"d024764","hirudin therapy",
"d006650","histocompatibility testing","crossmatching tissue","tissue typing","hla typing"
"d006652","histological techniques","histologic technique","histological technic","technic histologic"
"d015528","hiv seroprevalence",
"d006694","holistic health","wholistic health","health care wholistic","holistic therapy","therapies holistic","therapies wholistic","wholistic therapy","medicine wholistic","holistic medicine"
"d006701","home nursing","nonprofessional home care","care non professional home","non professional home care"
"d000080282","hormonal contraception","hormonal contraception female","contraception male hormonal"
"d058611","horticultural therapy","horticultural therapies"
"d017051","hospice care","hospice program","bereavement care"
"d017052","hospital mortality","mortality in hospital","in hospital mortalities","mortalities hospital","mortalities in house","in house mortality","mortality inhospital","inhospital mortalities"
"d006753","hospital records",
"d006775","hospitals packaged",
"d006805","human experimentation","human research subject protection"
"d006824","hybridization genetic","crossbreeding","hybridization intraspecies"
"d006931","hyperbaric oxygenation","hyperbaric oxygen therapy","therapies hyperbaric oxygen"
"d006979","hyperthermia induced","therapy fever","hyperthermia therapeutic","thermotherapy","hyperthermic intraperitoneal chemotherapy","hyperthermic intraperitoneal chemotherapies","hyperthermia local"
"d006991","hypnosis anesthetic","anesthetic hypnoses","hypnosedation","hypnoanesthesia"
"d006992","hypnosis dental","dental hypnoses"
"d007017","hypophysectomy chemical","chemical hypophysectomies"
"d007023","hypotension controlled","induced hypotension"
"d007036","hypothermia induced","therapeutic hypothermia","targeted temperature management","moderate hypothermia induced","mild hypothermia induced"
"d007045","hysterectomy vaginal","hysterectomies vaginal","colpohysterectomy","colpohysterectomies"
"d018889","ilizarov technique","ilizarov method","ilizarov technic"
"d019044","image cytometry","cytometries image"
"d007089","image enhancement","image quality enhancement"
"d019018","imagery psychotherapy","imagery psychotherapeutic","guided imagery","directed reverie therapy","therapies directed reverie"
"d007116","immunization passive","passive antibody transfer","passive transfer of immunity","serotherapy","serotherapies","immunotherapy passive","immunotherapies passive","immunoglobulin therapy","immunoglobulin therapies","normal serum globulin therapy"
"d007115","immunization schedule",
"d007117","immunization secondary","immunization booster","revaccination"
"d007124","immunoenzyme techniques","immunoenzyme technic","peroxidase antiperoxidase complex technique","peroxidase antiperoxidase complex technic","peroxidase labeled antibody technique","antibody technic peroxidase labeled","antibody technique enzyme labeled","antibody technic enzyme labeled","antibody enzyme technique unlabeled","antibody enzyme technic unlabeled","enzyme immunoassay","immunoperoxidase technique","immunoperoxidase technic"
"d007158","immunologic techniques","immunological technique","technic immunologic","immunological technic","antibody dissociation"
"d007159","immunologic tests","immunological test","immunodiagnosis","immunodiagnoses","diagnosis immunological","diagnoses immunological","immunologic diagnosis","diagnoses immunologic"
"d018189","immunomagnetic separation","immunomagnetic bead technique","immunomagnetic cell separation","purging immunomagnetic"
"d015592","immunoradiometric assay",
"d007163","immunosorbent techniques","immunoadsorbent technique","immunosorbent technic","immunoadsorbent technic"
"d016233","immunotherapy active","active immunotherapies","vaccine therapy","therapies vaccine","immune rna manipulation"
"d016219","immunotherapy adoptive","immunotherapy adoptive cellular","adoptive immunotherapies","immunotherapies adoptive cellular","chimeric antigen receptor therapy","car t cell therapy","therapies car t cell"
"d058542","implantable neurostimulators","implanted neurostimulator","implanted nerve stimulation electrodes"
"d020007","implants experimental",
"d057970","inappropriate prescribing","inappropriate prescription","over prescribing"
"d033162","incidental findings","incidental discovery","discoveries incidental"
"d016496","incontinence pads",
"d007186","incubators infant","warmer infant radiant"
"d060828","induction chemotherapy","chemotherapies induction"
"d015370","infant equipment","baby equipment","infant swing","baby swing","infant walker","baby walker","infant furniture","chair high","infant stroller","baby stroller","crib"
"d007226","infant mortality","infant mortalities","neonatal mortality","mortalities neonatal","postneonatal mortality","mortalities postneonatal"
"d007260","infusion pumps","infusor","infusion pump","system drug infusion","external infusion pump","pump external infusion"
"d036502","infusions intralesional",
"d017148","infusions intraosseous","infusion intra osseous"
"d007262","infusions intravenous","intravenous drip","drip infusion"
"d057967","infusions intraventricular","infusion intracerebroventricular"
"d007263","infusions parenteral","infusion intra abdominal","infusion peritoneal","infusion intraperitoneal"
"d060186","infusions spinal",
"d055104","infusions subcutaneous",
"d036503","inhalation spacers","spacer tube","holding chamber valved","aerosol holding chamber"
"d000069555","injection intratympanic","transtympanic administration"
"d007268","injections epidural","extradural injection","epidural injection"
"d007271","injections intradermal",
"d015552","injections intralesional",
"d007272","injections intralymphatic","endolymphatic injection"
"d007273","injections intramuscular",
"d056965","injections intraocular","injection intra ocular","injection periocular"
"d007274","injections intraperitoneal",
"d007275","injections intravenous",
"d007276","injections intraventricular",
"d007277","injections jet",
"d007278","injections spinal","injection spinal","injection intrathecal"
"d007279","injections subcutaneous",
"d007315","insemination artificial","eutelegenesis","eutelegeneses"
"d007320","inspiratory capacity","capacities inspiratory"
"d007322","instillation drug",
"d000073196","integrative oncology",
"d016268","internal fixators","internal fixation device"
"d055770","interpleural analgesia","intrapleural analgesia"
"d007428","intradermal tests","passive transfer test","prausnitz kustner test"
"d007430","intraoperative care",
"d007432","intraoperative period",
"d007434","intrauterine devices","contraceptive iud","intrauterine contraceptive device","unmedicated iud"
"d000069416","intravital microscopy","in vivo microscopy","intravital imaging"
"d058449","intravitreal injections",
"d007441","intubation gastrointestinal","intubation nasogastric"
"d007442","intubation intratracheal","intubation endotracheal"
"d008919","investigative techniques","investigative technic"
"d000079243","involuntary commitment",
"d057775","ischemic postconditioning","ischemic post conditioning"
"d019194","ischemic preconditioning","ischemic pre conditioning"
"d007525","isoelectric focusing","electrofocusing"
"d007526","isoelectric point",
"d007553","isotope labeling","isotope coded affinity tagging","tagging isotopically coded affinity","labeling stable isotope"
"d007581","jejunoileal bypass","bypasses jejunoileal","jejuno ileal bypass","bypasses jejuno ileal","ileojejunal bypass","bypasses ileojejunal","intestinal bypass","bypasses intestinal"
"d007595","joint prosthesis","joint prostheses"
"d015948","keratoplasty penetrating","keratoplasties penetrating"
"d007646","keratotomy radial","keratotomies radial"
"d016030","kidney transplantation","renal transplantation","grafting kidney"
"d007688","kidneys artificial","blood dialyzer","hemodialyser","hemodialyzer","blood dialyser","renal dialysis machine"
"d018953","kinesiology applied",
"d007720","knee prosthesis","knee prostheses"
"d007731","kveim test",
"d007751","labor induced","induction of labor","labor induction"
"d007808","language therapy","language therapies","language training"
"d017214","laryngeal masks","laryngeal mask airway"
"d007831","larynx artificial","laryngeal prosthesis","laryngeal prostheses","artificial larynges","voice prosthesis","prostheses voice"
"d017075","laser coagulation","thermocoagulation laser"
"d053685","laser therapy","laser therapies","vaporization laser","laser ablation","tissue ablation laser","pulsed laser tissue ablation","laser photoablation of tissue","nonablative laser treatment","laser scalpel","knive laser","laser knife","laser surgery","laser surgeries"
"d054025","lasers dye","tunable dye laser","dye laser pulsed","pulsed dye laser"
"d054018","lasers excimer","laser krypton chloride","krcl excimer laser","krcl laser","xecl excimer laser","laser xenon chloride","laser xecl","arf laser","laser argon fluoride","laser arf excimer"
"d054020","lasers gas","laser argon ion","carbon dioxide laser","laser co2","vapor laser copper","nitrogen laser","xenon ion laser","helium laser","hene laser","vapor laser metal","laser gold vapor"
"d054023","lasers semiconductor","semiconductor diode laser","diode laser","laser quantum cascade","laser gaalas","arsenide laser gallium","laser gallium arsenide","gaas laser"
"d027641","laughter therapy","laughter yoga"
"d007910","lenses intraocular","lens intraocular","lens implantable contact"
"d007942","leukemia experimental","leukemia model animal"
"d007958","leukocyte count","blood cell count white","leukocyte number","count differential leukocyte"
"d017708","leukocyte transfusion","white blood cell transfusion"
"d008017","life expectancy","expectancies life","years of potential life lost","life extension"
"d015993","life tables","life table model","life table method","life table analysis","analyses life table","estimate life table"
"d008028","light coagulation","photocoagulation"
"d016013","likelihood functions","estimate maximum likelihood"
"d023821","limb salvage",
"d008033","limulus test",
"d016014","linear models","log linear model","linear regression"
"d000073890","liquid biopsy","biopsies liquid"
"d021061","liquid ventilation","ventilation liquid assisted","liquid ventilation total","ventilation fluorocarbon","liquid ventilation partial"
"d017602","lithotripsy laser","lithotripsies laser","shockwave lithotripsy laser induced"
"d019164","liver artificial","bioartificial liver"
"d016031","liver transplantation","grafting liver","liver transplant","hepatic transplantation"
"d016015","logistic models","logit model","logistic regression"
"d008137","longitudinal studies","longitudinal study","tuskegee syphilis study","syphilis studies tuskegee","jackson heart study","studies jackson heart","california teachers studies","study california teachers","bogalusa heart studies","heart study bogalusa","framingham heart studies","heart study framingham","survey longitudinal"
"d008163","luminescent measurements","assay luminescent","luminescent technique","luminescence measurement","chemiluminescent measurement","assay chemiluminescent","chemoluminescence measurement","chemiluminescence measurement","measurement phosphorescent","assay phosphorescent","measurement phosphorescence","bioluminescent measurement","assay bioluminescent","bioluminescence measurement"
"d008170","lung compliance",
"d016040","lung transplantation","grafting lung"
"d015182","lymphatic irradiation","lymphoid irradiation","radiation therapy lymphatic","therapies lymphatic radiation","lymphatic radiotherapies","radiotherapy lymphatic"
"d008213","lymphocyte activation","blast transformation","blastogenesis","lymphocyte stimulation","lymphocyte transformation","transformation lymphoblast"
"d018655","lymphocyte count","lymphocyte number","total lymphocyte count"
"d008212","lymphocyte depletion",
"d017710","lymphocyte transfusion",
"d060046","maintenance chemotherapy","chemotherapies maintenance"
"d019186","mandibular advancement",
"d063168","mandibular osteotomy","mandibular osteotomies","mandibulotomy","mandibulotomies","mandibuloplasty","mandibuloplasties","mandibulectomy","mandibulectomies","hemimandibulectomy","hemimandibulectomies","segmental mandibulectomy","mandibulectomies segmental"
"d008341","mandibular prosthesis","mandibular prostheses"
"d063175","mandibular reconstruction","titanium plate mandibular reconstruction","mandibular reconstructive surgery","surgeries mandibular reconstructive","maxillo mandibular reconstruction"
"d026882","manipulation chiropractic","spinal adjustment chiropractic","adjustment chiropractic"
"d008349","manipulation orthopedic",
"d026301","manipulation osteopathic","osteopathic manipulative treatment"
"d020393","manipulation spinal","lumbar manipulation","cervical manipulation"
"d008369","manual communication",
"d008390","markov chains","markov processes","markov chain"
"d008403","mass screening","screening"
"d013058","mass spectrometry","mass spectroscopy","spectrum analysis mass","spectrum analyses mass"
"d032541","mass vaccination","mass immunization"
"d015409","mastectomy radical","mastectomies radical","halsted mastectomy","meyer mastectomy"
"d015412","mastectomy segmental","mastectomies segmental","local excision mastectomy","local excision mastectomies","segmentectomy","segmentectomies","partial mastectomy","mastectomies partial","limited resection mastectomy","limited resection mastectomies","lumpectomy","lumpectomies","breast conserving surgery","breast quadrantectomy","breast quadrantectomies","breast conserving surgeries","breast conservation therapy","breast conservation therapies","breast sparing surgery","breast sparing surgeries"
"d015413","mastectomy simple","mastectomies simple","total mastectomy","mastectomies total"
"d015414","mastectomy subcutaneous","mastectomies subcutaneous"
"d008422","materials testing","materials testing biocompatible","testing biocompatibility","hemocompatibility testing","materials testing hemocompatible"
"d008428","maternal mortality","maternal mortalities"
"d008434","matrix bands",
"d063166","maxillary osteotomy","maxillary osteotomies"
"d008447","maxillofacial prosthesis","maxillofacial prostheses","maxillary prosthesis","maxillary prostheses"
"d000079042","maze procedure","maze ablation","maze surgery","maze surgeries","cox maze operation","cox maze procedure","left sided maze procedure","cox maze iii procedure","cox maze iii surgery","maze iii procedure","mini maze procedure","cox maze iv procedure","maze iv procedure"
"d061185","mechanical thrombolysis","mechanical clot disruption"
"d018447","medical futility","futility","treatment futility","futile treatment"
"d008499","medical records","transcription medical","health diaries","diary health"
"d008508","medication errors","medication error lasa","high alert medication error","high alert drug error","drug use error"
"d059065","medication reconciliation",
"d008514","medicine arabic",
"d008515","medicine ayurvedic","hindu medicine","siddha medicine"
"d019026","medicine chests",
"d020835","medicine kampo","kanpo medicine","kanpo","kampo"
"d008519","medicine traditional","home remedies","home remedy","medicine primitive","medicine folk","medicine indigenous","folk remedies","folk remedy","ethnomedicine"
"d019367","medicine unani",
"d008546","melanoma experimental","melanoma harding passey","melanoma b16","s91 melanoma cloudman"
"d008602","mental healing",
"d060847","metabolic engineering",
"d055686","metabolic equivalent",
"d008792","metric system",
"d046228","microarray analysis","microarray analytical device","microarray microchip","analytical device nanoarray"
"d008828","microbiological techniques","technic microbiologic","technique microbiologic","microbiological technic"
"d015162","micronucleus tests","assay micronucleus"
"d008851","micropore filters","filter millipore"
"d020678","microscopic angioscopy","angioscopies microscopic","capillaroscopy","capillaroscopies","videocapillaroscopy","videocapillaroscopies","nailfold capillaroscopy","capillaroscopies nailfold"
"d033401","microscopy acoustic","acoustic microscopies","ultrasound biomicroscopy","biomicroscopies ultrasound","ultrasonographic biomicroscopy","biomicroscopies ultrasonographic","ultrasonic biomicroscopy","biomicroscopies ultrasonic","microscopy scanning acoustic","scanning acoustic microscopies"
"d018613","microscopy confocal","confocal microscopies","laser scanning microscopy","scanning microscopies laser","laser scanning confocal microscopy","confocal microscopy scanning laser","laser microscopy","laser microscopies"
"d008854","microscopy electron",
"d008856","microscopy fluorescence","fluorescence microscopies","immunofluorescence microscopy","immunofluorescence microscopies"
"d016253","microscopy immunoelectron","microscopy immuno electron","immuno electron microscopies","immunoelectron microscopies"
"d008857","microscopy interference","microinterferometry","interferometry microscopic","reflection microscopy interference","microscopy differential interference contrast","microscopy nomarski interference contrast"
"d008859","microscopy polarization","microscopy polarized light","polarized light microscopies","polarization microscopies"
"d008860","microscopy ultraviolet","microscopies ultraviolet"
"d018715","microscopy video","videomicrography","videomicrographies","videomicroscopy","videomicroscopies","microscopies video"
"d000080925","microwave imaging","microwave tomography","microwave tomographies"
"d008940","mitotic index","indices mitotic"
"d023421","models animal","model laboratory animal","animal model experimental","model experimental animal"
"d008954","models biological","model biological"
"d008955","models cardiovascular",
"d008956","models chemical",
"d017059","models econometric",
"d018803","models economic",
"d017145","models educational","educational model"
"d008957","models genetic",
"d018448","models immunological","immunological model"
"d008958","models molecular",
"d008959","models neurological","neurologic model"
"d016294","models nursing","orem self care model"
